f	m	p	d	mean	sd
0.6	3	5	1	1.0	0.0
0.6	3	5	2	1.0	0.0
0.6	3	5	3	1.0	0.0
0.6	3	5	4	0.9370041070041072	0.11108337327867605
0.6	3	5	5	0.9119433820692402	0.1580124522430766
0.7	1	3	1	0.966489483514936	0.05012020495935199
0.7	1	3	2	0.7255004542241386	0.26319298422030857
0.7	1	3	3	0.6654447219447218	0.29560455892459053
0.7	1	3	4	0.6943251748251749	0.2881211580241151
0.7	1	3	5	0.6650125626007979	0.31311812527457494
0.7	1	4	1	0.9990714285714286	0.004673525086558805
0.7	1	4	2	0.9393757456551386	0.09777655425594282
0.7	1	4	3	0.6483541099423452	0.25346073516763906
0.7	1	4	4	0.5371282432164785	0.331184558734743
0.7	1	4	5	0.5003154459919166	0.31755778232610177
0.7	1	5	1	1.0	0.0
0.7	1	5	2	0.9995650372825186	0.0022644941252051355
0.7	1	5	3	0.9090527754441492	0.1033763200044043
0.7	1	5	4	0.5507059802942156	0.2870650580934744
0.7	1	5	5	0.49005194805194807	0.2886375692515418
0.7	2	3	1	1.0	0.0
0.7	2	3	2	0.9706282051282051	0.07484299696437074
0.7	2	3	3	0.9825555555555556	0.0676593683347457
0.7	2	3	4	0.9743730158730157	0.06109596235657594
0.7	2	3	5	0.965452380952381	0.07822162029826643
0.7	2	4	1	0.999591836734694	0.0028571428571428446
0.7	2	4	2	0.9922832510569353	0.02201410475537096
0.7	2	4	3	0.7947896939661645	0.24303207641389202
0.7	2	4	4	0.8070150738150739	0.20075858992351384
0.7	2	4	5	0.8015595238095239	0.2227720098452594
0.7	2	5	1	0.9848666666666667	0.05850150995202316
0.7	2	5	2	1.0	0.0
0.7	2	5	3	0.9691989056910635	0.03545343428185169
0.7	2	5	4	0.5817814339681348	0.33035411725892
0.7	2	5	5	0.5826651343152891	0.29173387283372043
0.7	3	3	1	1.0	0.0
0.7	3	3	2	1.0	0.0
0.7	3	3	3	1.0	0.0
0.7	3	3	4	0.972972972972973	0.16216216216216214
0.7	3	3	5	1.0	0.0
0.7	3	4	1	1.0	0.0
0.7	3	4	2	1.0	0.0
0.7	3	4	3	0.945642857142857	0.12729828425632128
0.7	3	4	4	0.9724761904761905	0.07728405655001161
0.7	3	4	5	0.9814761904761906	0.06092826904035568
0.7	3	5	1	1.0	0.0
0.7	3	5	2	1.0	0.0
0.7	3	5	3	0.9982213438735178	0.008715840739604649
0.7	3	5	4	0.8700629472866317	0.15711516440124804
0.7	3	5	5	0.8442576312576311	0.235294616130485
0.8	1	3	1	0.9553315051719145	0.0643670425978808
0.8	1	3	2	0.5791587301587302	0.3254024316203079
0.8	1	3	3	0.618619547119547	0.3244182761663238
0.8	1	3	4	0.5660151515151516	0.32708073931419074
0.8	1	3	5	0.603514208014208	0.3110828410719775
0.8	1	4	1	0.9960518143094365	0.010391897484164905
0.8	1	4	2	0.8145308720028668	0.25449423874393035
0.8	1	4	3	0.4636467617349971	0.3220491957493442
0.8	1	4	4	0.411734126984127	0.3126884466071578
0.8	1	4	5	0.4128928571428571	0.289131930758873
0.8	1	5	1	1.0	0.0
0.8	1	5	2	0.9923307960184734	0.02561181396452999
0.8	1	5	3	0.8082312371724136	0.22848788741323497
0.8	1	5	4	0.40995238095238096	0.3095872222384887
